policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
round_robin,good,2036,0.18994014975717474,53.26119516565928,43.333333333333336,44.136157664858416,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.49710975658044976,0.023146246653995405,0.03381385917502772,0.03518209411676497,0.3907922465541053,0.15959669546270516
error_trigger,good,2036,0.18449033468970752,51.931418606100664,31.11111111111111,18.13496583502571,360,6476,885.12,0.0,1800,89.95833333333331,360.0,0.599965558569837,0.31081572709700384,0.06713108454104809,0.058218748630454835,0.0961438916851134,0.3909025965585439,0.18372995962608088
aoi,good,2036,0.20280894442916578,56.52607603852089,50.27777777777778,59.88889986526804,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5756603634145007,0.023258421159744923,0.034003342760001734,0.035784178025016745,0.3904507183823136,0.15769664283341708
risk,good,2036,0.2075930762102943,58.45306453544439,31.11111111111111,22.510350832978325,278,5006,708.72,0.0,306,123.36712962962963,360.0,0.7296468242206633,0.30565240824598505,0.06713108454104809,0.05791295151588885,0.060915193946525316,0.3909025965585439,0.36304422245377455
cvoi,good,2036,0.1873566664405949,50.294377616334394,31.11111111111111,18.599456914536823,360,6480,885.6,0.0,1766,12.323148148148148,71.0,0.8729126353228445,0.31579734969718676,0.043576070828896064,0.046570978177203196,0.08221223575051648,0.3917657097474118,0.24421765444235516
periodic_all,good,2037,0.18440856757184623,51.60746743750104,31.666666666666668,18.922609570834105,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34463904109494947,0.048778436041788636,0.039974850531961134,0.040593315609145336,0.38122767806980745,0.2512380840834254
round_robin,good,2037,0.18754887401231776,51.942768137539865,44.166666666666664,44.053865455592465,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.4977162491897389,0.021520414862310443,0.04097217131590145,0.03056061626161979,0.38163951719280587,0.15288427525152995
error_trigger,good,2037,0.1903043878071676,52.96132283733176,30.833333333333332,18.017060391139367,360,6458,882.9599999999999,0.0,1800,72.18935185185187,360.0,0.5890665611013453,0.3121910482004131,0.07546289363962684,0.039974850531961134,0.10457642229203004,0.38122767806980745,0.2283934341091669
aoi,good,2037,0.19870036786914824,54.571075061257034,49.44444444444444,56.82431824867622,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5612687732341569,0.02065746674159416,0.040547391527291254,0.03166541665472467,0.3819813216128357,0.15608183744428678
risk,good,2037,0.18721964123793455,50.80417099172215,30.27777777777778,21.67913317983891,280,5040,712.8,0.0,203,103.58379629629628,360.0,0.6405966842919584,0.3084265663472341,0.048778436041788636,0.039974850531961134,0.040593315609145336,0.38122767806980745,0.3043170008276706
cvoi,good,2037,0.1775620672767547,47.64882031201128,32.77777777777778,18.42275486164613,359,6460,883.1999999999999,0.0,1761,11.930555555555555,76.0,0.8716819336936779,0.32617170021164094,0.026607494592897796,0.05690192045373853,0.06137622788308637,0.3822037382249168,0.21211132229424776
periodic_all,good,2038,0.22667413600400907,65.55160243921132,33.888888888888886,23.233762219302424,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34207523495211756,0.18110623402708326,0.06206928929492174,0.07076117280043376,0.3905729875501562,0.31345989739934194
